"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"GivenDetectionAtD.21_pred[1]",0,1,4,1.12031666666667,1.36438200614535,0,0.00560192220944381,0.4,59320,0.00200905221420364,0.999992055493587,"GivenDetectionAtD.21_pred[1]",1.12,0,4
"GivenDetectionAtD.21_pred[2]",0,1,5,1.90186666666667,1.80728828739029,1,0.00745025927798327,0.4,58845,-0.00966809313173242,1.00009135174205,"GivenDetectionAtD.21_pred[2]",1.902,0,5
"Auxiliary_D.22_pred[1]",0,1,4,1.31118333333333,1.48721836438476,0,0.00611660666192272,0.4,59119,-0.00198837054567752,1.00005633022735,"Auxiliary_D.22_pred[1]",1.311,0,4
"Auxiliary_D.22_pred[2]",0,0,3,0.5836,0.973238662006852,0,0.0040801425893656,0.4,56897,-0.00230722229457511,1.00004232495486,"Auxiliary_D.22_pred[2]",0.584,0,3
"Auxiliary_D.22_pred[3]",0,5,12,5.85078333333333,3.26343814918124,5,0.0133226674201174,0.4,60002,-0.0045928212446944,1.00005511983564,"Auxiliary_D.22_pred[3]",5.851,0,12
"GivenDetectionAtD.22_pred[1]",0,1,4,1.39848333333333,1.54840810485583,0,0.00634692281711195,0.4,59517,-0.00134002746178196,1.00007300024815,"GivenDetectionAtD.22_pred[1]",1.398,0,4
"GivenDetectionAtD.22_pred[2]",1,6,13,6.34708333333333,3.39676936619062,5,0.0138672528684734,0.4,60000,-0.00623807619731924,1.00007264493054,"GivenDetectionAtD.22_pred[2]",6.347,1,13
"Auxiliary_H.30_pred[1]",0,1,5,1.76128333333333,1.74887068195448,0,0.00713973466150315,0.4,60000,-0.00292810593630927,0.999996438777501,"Auxiliary_H.30_pred[1]",1.761,0,5
"Auxiliary_H.30_pred[2]",0,0,3,0.896666666666667,1.25101890727545,0,0.00519204104557083,0.4,58057,0.00275706390053904,1.00014111753304,"Auxiliary_H.30_pred[2]",0.897,0,3
"Auxiliary_H.30_pred[3]",0,1,5,1.67835,1.75462510411415,0,0.0071979387528194,0.4,59423,-0.00112797807146271,1.00017357622555,"Auxiliary_H.30_pred[3]",1.678,0,5
