"","GPSname","GEN","VemcoSN","StartTime","EndTime","GenLat","GenLon"
"146","GG1","GoldenGateW","547649",2021-12-20 10:21:00,2022-03-31 12:37:00,37.82126,-122.46918
"147","GG1","GoldenGateW","547649",2020-12-01 09:22:00,2021-03-16 10:54:00,37.82126,-122.46918
"148","GG1","GoldenGateW","547649",2020-03-25 10:34:00,2020-07-16 09:18:00,37.82126,-122.46918
"149","GG1","GoldenGateW","547649",2019-02-22 18:00:00,2019-06-04 11:30:00,37.82126,-122.46918
"150","GG1","GoldenGateW","545623",2013-04-25 08:03:00,2013-08-08 09:44:00,37.82126,-122.46918
"151","GG1","GoldenGateW","547649",2019-08-06 11:31:00,2019-12-17 09:05:00,37.82126,-122.46918
"152","GG1","GoldenGateW","545623",2017-01-24 10:53:33,2017-05-02 07:39:14,37.82126,-122.46918
"153","GG1","GoldenGateW","552202",2023-08-09 13:31:00,NA,37.82126,-122.46918
"154","GG1","GoldenGateW","545623",2017-05-02 08:15:00,2017-08-30 09:14:40,37.82126,-122.46918
"155","GG1","GoldenGateW","545623",2016-01-20 10:03:00,2016-04-22 08:33:00,37.82126,-122.46918
"156","GG1","GoldenGateW","547649",2022-12-05 11:29:00,2023-03-16 14:22:00,37.82126,-122.46918
"157","GG1","GoldenGateW","545623",2017-12-12 09:20:00,2018-03-28 08:26:28,37.82126,-122.46918
"158","GG1","GoldenGateW","547181",2018-12-07 11:01:00,2019-02-22 17:43:00,37.82126,-122.46918
"159","GG1","GoldenGateW","547649",2022-03-31 16:24:00,2022-08-02 11:08:00,37.82126,-122.46918
"160","GG1","GoldenGateW","547649",2022-08-02 13:23:00,2022-12-05 11:16:00,37.82126,-122.46918
"161","GG1","GoldenGateW","545623",2013-02-13 17:03:00,2013-04-24 10:02:00,37.82126,-122.46918
"162","GG1","GoldenGateW","547649",2021-07-21 10:22:00,2021-12-20 10:05:00,37.82126,-122.46918
"163","GG1","GoldenGateW","545623",2016-04-22 09:33:00,2016-07-18 10:49:00,37.82126,-122.46918
"164","GG1","GoldenGateW","552202",2023-03-16 14:30:00,0023-08-09 10:10:00,37.82126,-122.46918
"165","GG1","GoldenGateW","547649",2019-06-04 12:05:00,2019-08-06 11:16:00,37.82126,-122.46918
"166","GG1","GoldenGateW","545623",2013-11-21 08:46:00,2014-03-03 11:05:00,37.82126,-122.46918
"167","GG1","GoldenGateW","547181",2018-03-28 09:18:48,2018-08-21 08:56:00,37.82126,-122.46918
"168","GG1","GoldenGateW","545623",2015-02-19 12:47:00,2015-06-17 08:51:43,37.82126,-122.46918
"169","GG1","GoldenGateW","545623",2014-03-03 12:15:00,2014-06-13 08:30:00,37.82126,-122.46918
"170","GG1.5","GoldenGateW","547647",2019-02-22 15:14:00,2019-06-04 10:46:00,37.82126,-122.46918
"171","GG2.1","GoldenGateW","545632",2017-05-02 09:45:47,2017-08-30 10:13:18,37.82126,-122.46918
"172","GG2.1","GoldenGateW","552213",2023-03-16 14:46:00,0023-08-09 10:00:00,37.82126,-122.46918
"173","GG2.1","GoldenGateW","547176",2021-03-16 10:47:00,2021-07-21 10:04:00,37.82126,-122.46918
"174","GG2.1","GoldenGateW","547176",2020-12-01 11:25:00,2021-03-16 10:12:00,37.82126,-122.46918
"175","GG2.1","GoldenGateW","547180",2018-03-28 10:08:17,2018-08-21 09:40:00,37.82126,-122.46918
"176","GG2.1","GoldenGateW","545632",2014-03-03 12:00:00,2014-06-13 09:31:00,37.82126,-122.46918
"177","GG2.1","GoldenGateW","547176",2019-06-05 08:16:00,2019-08-06 11:45:00,37.82126,-122.46918
"178","GG2.1","GoldenGateW","545632",2015-02-19 12:56:00,2015-06-17 10:22:16,37.82126,-122.46918
"179","GG2.1","GoldenGateW","547176",2021-12-20 10:00:00,2022-03-31 12:27:00,37.82126,-122.46918
"180","GG2.1","GoldenGateW","545632",2013-04-24 13:10:00,2013-08-08 08:52:00,37.82126,-122.46918
"181","GG2.1","GoldenGateW","545632",2016-04-21 13:34:00,2016-07-19 11:37:00,37.82126,-122.46918
"182","GG2.1","GoldenGateW","547176",2019-02-22 17:37:00,2019-06-05 07:50:00,37.82126,-122.46918
"183","GG2.1","GoldenGateW","547176",2020-07-16 13:50:00,2020-12-01 11:05:00,37.82126,-122.46918
"184","GG2.1","GoldenGateW","546976",2022-12-06 09:11:00,2023-03-16 14:40:00,37.82126,-122.46918
"185","GG2.1","GoldenGateW","547176",2021-07-21 10:22:00,2021-12-20 09:46:00,37.82126,-122.46918
"186","GG2.1","GoldenGateW","547180",2018-12-07 22:32:00,2019-02-22 17:18:00,37.82126,-122.46918
"187","GG2.1","GoldenGateW","547176",2022-03-31 16:33:00,2022-08-02 10:56:00,37.82126,-122.46918
"188","GG2.1","GoldenGateW","547180",2018-08-21 10:07:00,2018-12-07 10:14:00,37.82126,-122.46918
"189","GG2.1","GoldenGateW","545632",2016-01-21 09:13:00,2016-04-21 12:50:00,37.82126,-122.46918
"190","GG2.1","GoldenGateW","545632",2013-02-14 14:01:00,2013-04-24 10:22:00,37.82126,-122.46918
"191","GG2.1","GoldenGateW","545632",2017-01-25 12:41:07,2017-05-02 09:20:55,37.82126,-122.46918
"192","GG2.1","GoldenGateW","547176",2020-03-25 09:59:00,2020-07-16 13:32:00,37.82126,-122.46918
"193","GG2.1","GoldenGateW","547176",2019-12-16 14:55:00,2020-03-25 09:30:00,37.82126,-122.46918
"194","GG2.1","GoldenGateW","552213",2023-08-09 13:34:00,NA,37.82126,-122.46918
"195","GG2.1","GoldenGateW","547176",2019-08-06 12:05:00,2019-12-16 14:41:00,37.82126,-122.46918
"196","GG2.1","GoldenGateW","545632",2017-12-12 09:25:00,2018-03-28 09:29:02,37.82126,-122.46918
"197","GG2.5","GoldenGateW","547642",2019-02-22 15:33:00,2019-06-04 14:00:00,37.82126,-122.46918
"198","GG3.1","GoldenGateW","547647",2021-12-20 09:38:00,2022-03-31 12:17:00,37.82126,-122.46918
"199","GG3.1","GoldenGateW","547647",2020-07-17 09:48:00,2020-12-01 10:30:00,37.82126,-122.46918
"200","GG3.1","GoldenGateW","552215",2023-03-16 15:07:00,0023-08-09 09:50:00,37.82126,-122.46918
"201","GG3.1","GoldenGateW","545624",2017-05-02 11:05:47,2017-08-30 13:55:10,37.82126,-122.46918
"202","GG3.1","GoldenGateW","545624",2017-01-24 12:05:38,2017-05-02 10:44:58,37.82126,-122.46918
"203","GG3.1","GoldenGateW","547177",2018-03-28 10:59:02,2018-08-21 10:15:00,37.82126,-122.46918
"204","GG3.1","GoldenGateW","545624",2016-01-21 09:46:00,2016-04-21 11:40:00,37.82126,-122.46918
"205","GG3.1","GoldenGateW","545624",2013-02-13 15:30:00,2013-04-25 09:22:00,37.82126,-122.46918
"206","GG3.1","GoldenGateW","547647",2022-03-31 16:38:00,2022-08-02 10:41:00,37.82126,-122.46918
"207","GG3.1","GoldenGateW","547647",2019-12-16 13:28:00,2020-03-25 08:48:00,37.82126,-122.46918
"208","GG3.1","GoldenGateW","547647",2019-08-06 12:42:00,2019-12-16 13:16:00,37.82126,-122.46918
"209","GG3.1","GoldenGateW","545624",2016-04-21 12:40:00,2016-07-19 13:31:00,37.82126,-122.46918
"210","GG3.1","GoldenGateW","547647",2021-07-21 10:51:00,2021-12-20 09:20:00,37.82126,-122.46918
"211","GG3.1","GoldenGateW","547647",2019-06-04 14:00:00,2019-08-06 12:25:00,37.82126,-122.46918
"212","GG3.1","GoldenGateW","547647",2020-12-01 10:59:00,2021-03-16 09:36:00,37.82126,-122.46918
"213","GG3.1","GoldenGateW","545624",2017-12-12 09:32:00,2018-03-28 10:19:59,37.82126,-122.46918
"214","GG3.1","GoldenGateW","547647",2021-03-16 10:07:00,2021-07-21 10:32:00,37.82126,-122.46918
"215","GG3.1","GoldenGateW","547177",2018-12-07 22:05:00,2019-03-21 11:36:00,37.82126,-122.46918
"216","GG3.1","GoldenGateW","547647",2022-12-05 11:53:00,2023-03-16 15:00:00,37.82126,-122.46918
"217","GG3.1","GoldenGateW","545624",2013-11-21 09:51:00,2014-03-03 12:32:00,37.82126,-122.46918
"218","GG3.1","GoldenGateW","545624",2015-02-19 13:05:00,2015-06-17 13:34:31,37.82126,-122.46918
"219","GG3.1","GoldenGateW","552215",2023-08-09 13:37:00,NA,37.82126,-122.46918
"220","GG3.1","GoldenGateW","547184",2019-03-21 12:20:00,2019-06-04 13:50:00,37.82126,-122.46918
"221","GG3.1","GoldenGateW","545624",2014-03-03 13:26:00,2014-06-13 12:25:00,37.82126,-122.46918
"222","GG3.1","GoldenGateW","547647",2020-03-25 09:13:00,2020-07-17 08:15:00,37.82126,-122.46918
"223","GG3.1","GoldenGateW","545624",2013-04-25 10:07:00,2013-08-08 08:50:00,37.82126,-122.46918
"224","GG3.1","GoldenGateW","547177",2018-08-21 10:37:00,2018-12-07 09:42:00,37.82126,-122.46918
"225","GG3.1","GoldenGateW","547647",2022-08-02 13:29:00,2022-12-05 11:36:00,37.82126,-122.46918
"226","GG4","GoldenGateW","545625",2017-01-24 12:38:00,2017-05-02 12:55:00,37.82126,-122.46918
"227","GG4","GoldenGateW","547643",2021-03-16 09:27:00,2021-07-21 10:58:00,37.82126,-122.46918
"228","GG4","GoldenGateW","545625",2015-02-19 13:15:00,2015-06-17 12:05:31,37.82126,-122.46918
"229","GG4","GoldenGateW","547643",2020-07-17 09:41:00,2020-12-01 12:58:00,37.82126,-122.46918
"230","GG4","GoldenGateW","545625",2013-11-21 10:16:00,2014-03-03 12:50:00,37.82126,-122.46918
"231","GG4","GoldenGateW","547643",2021-07-22 12:23:00,2021-12-20 08:50:00,37.82126,-122.46918
"232","GG4","GoldenGateW","545625",2016-01-20 12:35:00,2016-04-21 10:03:00,37.82126,-122.46918
"233","GG4","GoldenGateW","547643",2022-03-31 16:44:00,2022-08-02 10:30:00,37.82126,-122.46918
"234","GG4","GoldenGateW","547643",2019-08-06 13:06:00,2019-12-17 09:26:00,37.82126,-122.46918
"235","GG4","GoldenGateW","547643",2022-08-02 13:34:00,2022-12-06 09:19:00,37.82126,-122.46918
"236","GG4","GoldenGateW","545625",2014-03-03 14:26:00,2014-06-13 11:05:00,37.82126,-122.46918
"237","GG4","GoldenGateW","547643",2019-02-22 16:41:00,2019-06-05 08:36:00,37.82126,-122.46918
"238","GG4","GoldenGateW","547185",2018-12-07 21:36:00,2019-02-22 16:22:00,37.82126,-122.46918
"239","GG4","GoldenGateW","545625",2016-04-21 11:10:00,2016-07-19 14:36:00,37.82126,-122.46918
"240","GG4","GoldenGateW","547643",2021-12-20 09:11:00,2022-03-31 12:07:00,37.82126,-122.46918
"241","GG4","GoldenGateW","545625",2013-02-14 15:01:00,2013-04-25 09:35:00,37.82126,-122.46918
"242","GG4","GoldenGateW","547185",2018-03-29 07:19:18,2018-08-21 10:57:00,37.82126,-122.46918
